Symptom,weight,description,cause
slurred_speech,4,"Difficulty speaking clearly","May indicate neurological issues, intoxication, or stroke"
knee_pain,3,"Pain in the knee joint","Often from arthritis, injury, or overuse"
hip_joint_pain,2,"Pain in the hip joint","May result from arthritis, bursitis, or injury"
muscle_weakness,2,"Reduced muscle strength","Can be due to neurological disorders, malnutrition, or inactivity"
stiff_neck,4,"Difficulty moving the neck","Commonly from muscle strain, meningitis, or poor posture"
swelling_joints,5,"Joint swelling and inflammation","Often due to arthritis, gout, or infections"
movement_stiffness,5,"Stiffness during movement","Associated with arthritis, Parkinson's, or injuries"
spinning_movements,6,"Sensation of spinning or vertigo","Typically due to inner ear disorders or neurological issues"
loss_of_balance,4,"Difficulty maintaining balance","May result from inner ear problems, neurological disorders, or aging"
unsteadiness,4,"Feeling unsteady on feet","Often linked to balance issues, weakness, or medications"
weakness_of_one_body_side,4,"Weakness on one side of the body","May indicate stroke, neurological damage, or injury"
loss_of_smell,3,"Inability to smell","Often due to colds, sinus issues, or neurological conditions"
bladder_discomfort,4,"Discomfort in the bladder area","Common with urinary tract infections or bladder issues"
foul_smell_ofurine,5,"Urine with a strong, unpleasant odor","May indicate infections, dehydration, or certain foods"
continuous_feel_of_urine,6,"Constant urge to urinate","Commonly due to urinary tract infections or prostate issues"
passage_of_gases,5,"Excessive flatulence or gas","Often from diet, digestive issues, or swallowing air"
internal_itching,4,"Itching inside the body","May be due to allergies, infections, or liver issues"
toxic_look_(typhos),5,"Typhoid-like appearance","Associated with severe infections or typhoid fever"
depression,3,"Persistent sadness or low mood","Often due to mental health issues, stress, or hormonal imbalances"
irritability,2,"Easily annoyed or agitated","May result from stress, sleep deprivation, or medical conditions"
muscle_pain,2,"Pain in muscles","Can be due to injury, overuse, or infections"
altered_sensorium,2,"Changes in mental status or awareness","May indicate infections, metabolic issues, or neurological problems"
red_spots_over_body,3,"Red spots on the skin","Common with infections, allergies, or autoimmune diseases"
belly_pain,4,"Pain in the abdomen","Can be caused by indigestion, infections, or menstrual issues"
abnormal_menstruation,6,"Irregular or abnormal periods","Often due to hormonal imbalances, stress, or medical conditions"
dischromic_patches,6,"Patches of discolored skin","May result from fungal infections, vitiligo, or other skin disorders"
watering_from_eyes,4,"Excessive tearing from eyes","Often due to allergies, infections, or irritants"
increased_appetite,5,"Heightened desire to eat","May be linked to diabetes, hyperthyroidism, or medications"
polyuria,4,"Excessive urination","Often due to diabetes, kidney issues, or diuretic use"
family_history,5,"Genetic predisposition to diseases","Inherited traits that increase risk of certain conditions"
mucoid_sputum,4,"Mucus-like sputum from respiratory tract","Common with respiratory infections or allergies"
rusty_sputum,4,"Sputum with a rusty color","May indicate pneumonia or lung infections"
lack_of_concentration,3,"Difficulty focusing or concentrating","Often due to stress, sleep issues, or ADHD"
visual_disturbances,3,"Problems with vision","Can be caused by refractive errors, cataracts, or neurological issues"
receiving_blood_transfusion,5,"History of blood transfusions","May carry risks of infections or reactions"
receiving_unsterile_injections,2,"Injections with non-sterile equipment","Can lead to infections or abscesses"
coma,7,"State of unconsciousness","May result from head injury, infections, or metabolic disorders"
stomach_bleeding,6,"Bleeding in the stomach","Can be due to ulcers, gastritis, or trauma"
distention_of_abdomen,4,"Swelling or bloating of the abdomen","Often from gas, constipation, or fluid accumulation"
history_of_alcohol_consumption,5,"Regular alcohol intake","May lead to liver disease, addiction, or other health issues"
blood_in_sputum,5,"Blood in coughed-up mucus","May indicate lung infections, cancer, or trauma"
prominent_veins_on_calf,6,"Visible, bulging veins on calves","Common with varicose veins or venous insufficiency"
palpitations,4,"Irregular or rapid heartbeats","Can be due to anxiety, caffeine, or heart conditions"
painful_walking,2,"Pain while walking","May result from foot problems, arthritis, or vascular issues"
pus_filled_pimples,2,"Pimples containing pus","Often due to acne, infections, or clogged pores"
blackheads,2,"Small, dark plugs in pores","Common with acne or oily skin"
scurring,2,"Formation of scabs or crusts","May result from injuries or infections"
skin_peeling,3,"Peeling of the skin","Often due to sunburn, infections, or dry skin"
silver_like_dusting,2,"Silver-colored scales on skin","Characteristic of psoriasis"
small_dents_in_nails,2,"Small dents or pits in nails","May indicate psoriasis or nutritional deficiencies"
inflammatory_nails,2,"Inflammation of the nails","Can be due to infections or autoimmune conditions"
blister,4,"Fluid-filled sacs on skin","Common with burns, friction, or infections"
red_sore_around_nose,2,"Red, sore area around the nose","Often due to infections or allergies"
yellow_crust_ooze,3,"Yellow crust or discharge","Often from infections or eczema"
prognosis,5,"Overall outlook or prediction for recovery","Depends on the disease severity and treatment response"
